topic	tweet_id	class_label	run_id
covid-19	1370400440144265216	yes_calls_for_action	manifold_mixup
covid-19	1370004867142549507	not_sure	manifold_mixup
covid-19	1369343664523251720	yes_discusses_action_taken	manifold_mixup
covid-19	1369064411672047623	yes_discusses_action_taken	manifold_mixup
covid-19	1241587305644724225	not_sure	manifold_mixup
covid-19	1235956474955718656	yes_calls_for_action	manifold_mixup
covid-19	1235953995161595904	yes_discusses_action_taken	manifold_mixup
covid-19	1235911492932956160	not_sure	manifold_mixup
covid-19	1235024875279933440	yes_discusses_action_taken	manifold_mixup
covid-19	1235149229179404289	yes_discusses_action_taken	manifold_mixup
covid-19	1236473220783636481	not_sure	manifold_mixup
covid-19	1237580045553524736	yes_discusses_action_taken	manifold_mixup
covid-19	1235625977750974464	yes_discusses_action_taken	manifold_mixup
covid-19	1274481081883021314	yes_discusses_action_taken	manifold_mixup
covid-19	1293105354469830657	yes_contains_advice	manifold_mixup
covid-19	1293110938107879424	yes_discusses_action_taken	manifold_mixup
