topic	tweet_id	class_label	run_id
covid-19	1368273275181207552	no	manifold_mixup
covid-19	1368830691300020225	no	manifold_mixup
covid-19	1367771405647933444	no	manifold_mixup
covid-19	1354211785293746177	no	manifold_mixup
covid-19	1359553863590678533	no	manifold_mixup
covid-19	1369198771330904070	no	manifold_mixup
covid-19	1369369392052637696	no	manifold_mixup
covid-19	1358119265774280709	no	manifold_mixup
covid-19	1367859250316378121	no	manifold_mixup
covid-19	1368254297704595456	no	manifold_mixup
covid-19	1367265365517041672	no	manifold_mixup
covid-19	1370112440646647812	no	manifold_mixup
covid-19	1370487263558316036	no	manifold_mixup
covid-19	1369730776321974275	no	manifold_mixup
covid-19	1369877253849411584	no	manifold_mixup
covid-19	1368110912629051394	no	manifold_mixup
covid-19	1353016312520450054	no	manifold_mixup
covid-19	1366247263832477701	no	manifold_mixup
covid-19	1361400300070920196	no	manifold_mixup
covid-19	1370092407920979975	no	manifold_mixup
covid-19	1370097091733823490	no	manifold_mixup
covid-19	1369993914216632325	no	manifold_mixup
covid-19	1366179764017504260	no	manifold_mixup
covid-19	1367882615496335362	no	manifold_mixup
covid-19	1368992496798273541	no	manifold_mixup
covid-19	1366472330025828355	no	manifold_mixup
covid-19	1366780587734827012	no	manifold_mixup
covid-19	1367183008537567232	no	manifold_mixup
covid-19	1370499629641515011	no	manifold_mixup
covid-19	1366953572005462023	no	manifold_mixup
covid-19	1371084197637545988	no	manifold_mixup
covid-19	1367881765516414979	no	manifold_mixup
covid-19	1368622542915858434	no	manifold_mixup
covid-19	1369880028599644162	no	manifold_mixup
covid-19	1363534236330917889	no	manifold_mixup
covid-19	1367982412332900352	no	manifold_mixup
covid-19	1362414673954562052	no	manifold_mixup
covid-19	1353183744291528704	no	manifold_mixup
covid-19	1354009455378182144	no	manifold_mixup
covid-19	1371029289458565120	no	manifold_mixup
covid-19	1371090721122435076	no	manifold_mixup
covid-19	1368473792985505801	no	manifold_mixup
covid-19	1354817763336810505	no	manifold_mixup
covid-19	1369819438170726400	no	manifold_mixup
covid-19	1368691132180336647	no	manifold_mixup
covid-19	1368215862675709955	no	manifold_mixup
covid-19	1367834808353656832	no	manifold_mixup
covid-19	1357388201388875777	no	manifold_mixup
covid-19	1370450657275215873	no	manifold_mixup
covid-19	1368072067065606154	no	manifold_mixup
covid-19	1369363349746688008	no	manifold_mixup
covid-19	1369725977899769860	no	manifold_mixup
covid-19	1367979849479036928	no	manifold_mixup
covid-19	1369641693126029314	no	manifold_mixup
covid-19	1370393398239240192	no	manifold_mixup
covid-19	1369956790360768513	no	manifold_mixup
covid-19	1369718019790954504	no	manifold_mixup
covid-19	1367919128338591744	no	manifold_mixup
covid-19	1370192639010738180	no	manifold_mixup
covid-19	1367249708729597953	no	manifold_mixup
covid-19	1370014713887723520	no	manifold_mixup
covid-19	1367951821193543687	no	manifold_mixup
covid-19	1367181649348341773	no	manifold_mixup
covid-19	1371102396076679170	no	manifold_mixup
covid-19	1369293334477471748	no	manifold_mixup
covid-19	1367501020583129092	no	manifold_mixup
covid-19	1371107611584696322	no	manifold_mixup
covid-19	1370845742550646784	no	manifold_mixup
covid-19	1370033216107679754	no	manifold_mixup
covid-19	1371069095831998464	no	manifold_mixup
covid-19	1370004736011874307	no	manifold_mixup
covid-19	1369997275553017863	no	manifold_mixup
covid-19	1369835335178481668	no	manifold_mixup
covid-19	1362435478264373250	no	manifold_mixup
covid-19	1368193973228027905	no	manifold_mixup
covid-19	1370414286204510218	no	manifold_mixup
covid-19	1369436846783139846	no	manifold_mixup
covid-19	1368796186249990145	no	manifold_mixup
covid-19	1365697985909260290	no	manifold_mixup
covid-19	1370910301646778373	no	manifold_mixup
covid-19	1369245265434189827	no	manifold_mixup
covid-19	1369057853294665729	no	manifold_mixup
covid-19	1366158991408074754	no	manifold_mixup
